Source,Target,Type,Weight
Ugz7pa6Sl2-gs39Oqn94AaABAg,OMTszkzVSx4,Directed,1
Ugwes0Owg1-C_yW6pV94AaABAg,OMTszkzVSx4,Directed,1
UgwTfw8vgpWqPtXYQRV4AaABAg,OMTszkzVSx4,Directed,1
UgwXUsin0bmcxztiaf14AaABAg,OMTszkzVSx4,Directed,1
UgzKuaCLl_yd_-FYWzp4AaABAg,OMTszkzVSx4,Directed,1
Ugxte4MpCZgz27ylnYx4AaABAg,OMTszkzVSx4,Directed,1
UgzXmxcGt0soKrN1bmx4AaABAg,OMTszkzVSx4,Directed,1
UgzzAnkPCdhq7zHPHL54AaABAg,OMTszkzVSx4,Directed,1
UgyT7-P1fKWF-pyNWDd4AaABAg,OMTszkzVSx4,Directed,1
UgxGrcfiSYPCOVVSPUV4AaABAg,OMTszkzVSx4,Directed,1
UgznpTtiD_0DksEFvF54AaABAg,OMTszkzVSx4,Directed,1
Ugykqb7KA2RxpgxQza14AaABAg,OMTszkzVSx4,Directed,1
UgxTnXPUEAj83iZy9HB4AaABAg,OMTszkzVSx4,Directed,1
Ugx9IerwN9kKkKxpNDV4AaABAg,OMTszkzVSx4,Directed,1
Ugxo2beOGtrYf0mqfHp4AaABAg,OMTszkzVSx4,Directed,1
UgwskQNMbeAj30PpI0N4AaABAg,OMTszkzVSx4,Directed,1
UgxN7FeRsM9nbLm2rgJ4AaABAg,OMTszkzVSx4,Directed,1
UgwAdgZM8Pg19_79R_l4AaABAg,OMTszkzVSx4,Directed,1
UgytN6QbD9NocY9D3Ct4AaABAg,hFw-GYAlJHc,Directed,1
UgwxPr2rZbpzKsevQ7Z4AaABAg,hFw-GYAlJHc,Directed,1
Ugy30RyxLVy8nqH8TUV4AaABAg,hFw-GYAlJHc,Directed,1
Ugxo_M_G9k90k--EccN4AaABAg,hFw-GYAlJHc,Directed,1
Ugy1k15zaKaZODV-4Il4AaABAg,hFw-GYAlJHc,Directed,1
Ugyw1nv2CAj4BNHyz7N4AaABAg,hFw-GYAlJHc,Directed,1
UgwGvWE3lyLsv_l37QF4AaABAg,hFw-GYAlJHc,Directed,1
UgxC3dkVonK3qNkoGGV4AaABAg,hFw-GYAlJHc,Directed,1
UgyBb2Y3upX3ahUW-Rh4AaABAg,hFw-GYAlJHc,Directed,1
Ugw_ZpR21QYdQ246BVl4AaABAg,hFw-GYAlJHc,Directed,1
UgxyNPAp0ffVm_6E1794AaABAg,hFw-GYAlJHc,Directed,1
UgzwtO_pP6VT4DnN7RN4AaABAg,hFw-GYAlJHc,Directed,1
UgwPzLOE6TBUsNxuj4d4AaABAg,hFw-GYAlJHc,Directed,1
UgzllUqZnCCEs49oVqh4AaABAg,hFw-GYAlJHc,Directed,1
UgwOKE6oncfXPDWtWlx4AaABAg,hFw-GYAlJHc,Directed,1
UgzsvZZgRvQIIZCoFeZ4AaABAg,hFw-GYAlJHc,Directed,1
UgwCAmxHm8nx6_FqFj14AaABAg,hFw-GYAlJHc,Directed,1
UgxUDtYneRyC_uGCZU14AaABAg,hFw-GYAlJHc,Directed,1
UgzCt4l95zfUYo_c04x4AaABAg,hFw-GYAlJHc,Directed,1
Ugzxt0jktaZU6qkAAR54AaABAg,hFw-GYAlJHc,Directed,1
UgxTsdh2843I-qdKLHF4AaABAg,hFw-GYAlJHc,Directed,1
UgzlzHyYVJ13m0w_tJl4AaABAg,hFw-GYAlJHc,Directed,1
Ugx6ORcpkjzYGDtrTBp4AaABAg,hFw-GYAlJHc,Directed,1
Ugy8DvihcANl93zw0dt4AaABAg,hFw-GYAlJHc,Directed,1
UgwOOe_9MkZfv4jjVah4AaABAg,hFw-GYAlJHc,Directed,1
Ugyd9Z9F6GZTF7VFowZ4AaABAg,hFw-GYAlJHc,Directed,1
UgylfsFApMDpXnHP-DV4AaABAg,hFw-GYAlJHc,Directed,1
UgzNkYdFcjWREZYbCdt4AaABAg,hFw-GYAlJHc,Directed,1
Ugy2iIbvMdb7hggAbV14AaABAg,hFw-GYAlJHc,Directed,1
UgxkZ9RNZ6EG-k0iQNB4AaABAg,hFw-GYAlJHc,Directed,1
UgxToT1obzo9bPBmSr14AaABAg,hFw-GYAlJHc,Directed,1
Ugy2BcFv2w4dOGL8eZN4AaABAg,hFw-GYAlJHc,Directed,1
Ugz99imG3s8tk0z-OYx4AaABAg,hFw-GYAlJHc,Directed,1
UgzNX5pYRGt7kpI20Bx4AaABAg,hFw-GYAlJHc,Directed,1
UgzUnoTCH242Kz_Y5Ax4AaABAg,hFw-GYAlJHc,Directed,1
UgyHlOqK1bovu_qBwKZ4AaABAg,hFw-GYAlJHc,Directed,1
UgxN13k6_xvqUTGiERR4AaABAg,hFw-GYAlJHc,Directed,1
UgzYK2vU2nm0QvvvfqN4AaABAg,hFw-GYAlJHc,Directed,1
Ugwt0Z135g0dVtqDt694AaABAg,hFw-GYAlJHc,Directed,1
Ugxl-uqt34v1iunk9-V4AaABAg,hFw-GYAlJHc,Directed,1
UgwRApLrunkpsoP_jSF4AaABAg,hFw-GYAlJHc,Directed,1
UgwbQFJpWDpNYr1xGu94AaABAg,hFw-GYAlJHc,Directed,1
UgwRze-SlBnJcdo7KIp4AaABAg,hFw-GYAlJHc,Directed,1
Ugzqs8nQOjlQniibFRp4AaABAg,hFw-GYAlJHc,Directed,1
UgwuwQRh9pNP4GY25t94AaABAg,hFw-GYAlJHc,Directed,1
UgxdCEvdqr3HsUXcyph4AaABAg,hFw-GYAlJHc,Directed,1
UgwlxQsL82obblAujHp4AaABAg,hFw-GYAlJHc,Directed,1
UgzeTlgYQ2f4ZJlBRVB4AaABAg,hFw-GYAlJHc,Directed,1
