Source,Target,Type,Weight
CMT_0223,jNdQb-958hA,Directed,1
CMT_0224,jNdQb-958hA,Directed,1
CMT_0225,jNdQb-958hA,Directed,1
CMT_0226,jNdQb-958hA,Directed,1
CMT_0227,jNdQb-958hA,Directed,1
CMT_0228,jNdQb-958hA,Directed,1
CMT_0229,jNdQb-958hA,Directed,1
CMT_0230,jNdQb-958hA,Directed,1
CMT_0231,jNdQb-958hA,Directed,1
CMT_0232,jNdQb-958hA,Directed,1
CMT_0233,jNdQb-958hA,Directed,1
CMT_0234,jNdQb-958hA,Directed,1
CMT_0235,jNdQb-958hA,Directed,1
CMT_0236,jNdQb-958hA,Directed,1
CMT_0237,jNdQb-958hA,Directed,1
CMT_0238,jNdQb-958hA,Directed,1
CMT_0239,jNdQb-958hA,Directed,1
CMT_0240,jNdQb-958hA,Directed,1
CMT_0241,jNdQb-958hA,Directed,1
CMT_0242,jNdQb-958hA,Directed,1
CMT_0243,jNdQb-958hA,Directed,1
CMT_0244,jNdQb-958hA,Directed,1
CMT_0245,jNdQb-958hA,Directed,1
CMT_0246,jNdQb-958hA,Directed,1
CMT_0247,jNdQb-958hA,Directed,1
CMT_0248,jNdQb-958hA,Directed,1
CMT_0249,jNdQb-958hA,Directed,1
CMT_0250,jNdQb-958hA,Directed,1
CMT_0251,jNdQb-958hA,Directed,1
CMT_0252,jNdQb-958hA,Directed,1
CMT_0253,jNdQb-958hA,Directed,1
CMT_0254,jNdQb-958hA,Directed,1
CMT_0255,jNdQb-958hA,Directed,1
CMT_0256,jNdQb-958hA,Directed,1
CMT_0257,jNdQb-958hA,Directed,1
CMT_0258,jNdQb-958hA,Directed,1
CMT_0259,jNdQb-958hA,Directed,1
CMT_0260,jNdQb-958hA,Directed,1
CMT_0261,jNdQb-958hA,Directed,1
CMT_0262,jNdQb-958hA,Directed,1
CMT_0263,jNdQb-958hA,Directed,1
CMT_0264,jNdQb-958hA,Directed,1
CMT_0265,jNdQb-958hA,Directed,1
CMT_0266,jNdQb-958hA,Directed,1
CMT_0267,jNdQb-958hA,Directed,1
CMT_0268,jNdQb-958hA,Directed,1
CMT_0269,jNdQb-958hA,Directed,1
CMT_0270,jNdQb-958hA,Directed,1
CMT_0271,jNdQb-958hA,Directed,1
CMT_0272,jNdQb-958hA,Directed,1
CMT_0273,jNdQb-958hA,Directed,1
CMT_0274,jNdQb-958hA,Directed,1
CMT_0275,jNdQb-958hA,Directed,1
CMT_0276,jNdQb-958hA,Directed,1
CMT_0277,jNdQb-958hA,Directed,1
CMT_0278,jNdQb-958hA,Directed,1
CMT_0279,jNdQb-958hA,Directed,1
CMT_0280,jNdQb-958hA,Directed,1
CMT_0281,jNdQb-958hA,Directed,1
CMT_0282,jNdQb-958hA,Directed,1
CMT_0283,jNdQb-958hA,Directed,1
CMT_0284,jNdQb-958hA,Directed,1
CMT_0285,jNdQb-958hA,Directed,1
CMT_0286,jNdQb-958hA,Directed,1
CMT_0287,jNdQb-958hA,Directed,1
CMT_0288,jNdQb-958hA,Directed,1
CMT_0289,jNdQb-958hA,Directed,1
CMT_0290,jNdQb-958hA,Directed,1
CMT_0291,jNdQb-958hA,Directed,1
CMT_0292,jNdQb-958hA,Directed,1
CMT_0293,jNdQb-958hA,Directed,1
CMT_0294,jNdQb-958hA,Directed,1
CMT_0295,jNdQb-958hA,Directed,1
CMT_0296,jNdQb-958hA,Directed,1
CMT_0297,jNdQb-958hA,Directed,1
CMT_0298,jNdQb-958hA,Directed,1
CMT_0299,jNdQb-958hA,Directed,1
CMT_0300,jNdQb-958hA,Directed,1
CMT_0301,jNdQb-958hA,Directed,1
CMT_0302,jNdQb-958hA,Directed,1
CMT_0303,jNdQb-958hA,Directed,1
CMT_0304,jNdQb-958hA,Directed,1
CMT_0305,jNdQb-958hA,Directed,1
CMT_0306,jNdQb-958hA,Directed,1
CMT_0307,jNdQb-958hA,Directed,1
CMT_0308,jNdQb-958hA,Directed,1
CMT_0309,jNdQb-958hA,Directed,1
CMT_0310,jNdQb-958hA,Directed,1
CMT_0311,jNdQb-958hA,Directed,1
CMT_0312,jNdQb-958hA,Directed,1
CMT_0313,jNdQb-958hA,Directed,1
CMT_0314,jNdQb-958hA,Directed,1
CMT_0315,jNdQb-958hA,Directed,1
CMT_0316,jNdQb-958hA,Directed,1
CMT_0317,jNdQb-958hA,Directed,1
CMT_0318,jNdQb-958hA,Directed,1
CMT_0319,jNdQb-958hA,Directed,1
CMT_0320,jNdQb-958hA,Directed,1
CMT_0321,jNdQb-958hA,Directed,1
CMT_0322,jNdQb-958hA,Directed,1
CMT_0323,jNdQb-958hA,Directed,1
CMT_0324,jNdQb-958hA,Directed,1
CMT_0325,jNdQb-958hA,Directed,1
CMT_0326,jNdQb-958hA,Directed,1
CMT_0327,jNdQb-958hA,Directed,1
CMT_0328,jNdQb-958hA,Directed,1
CMT_0329,jNdQb-958hA,Directed,1
CMT_0330,jNdQb-958hA,Directed,1
CMT_0331,jNdQb-958hA,Directed,1
CMT_0332,jNdQb-958hA,Directed,1
CMT_0333,jNdQb-958hA,Directed,1
CMT_0334,jNdQb-958hA,Directed,1
CMT_0335,jNdQb-958hA,Directed,1
CMT_0336,jNdQb-958hA,Directed,1
CMT_0337,jNdQb-958hA,Directed,1
CMT_0338,jNdQb-958hA,Directed,1
CMT_0339,jNdQb-958hA,Directed,1
CMT_0340,jNdQb-958hA,Directed,1
CMT_0341,jNdQb-958hA,Directed,1
CMT_0342,jNdQb-958hA,Directed,1
CMT_0343,jNdQb-958hA,Directed,1
CMT_0344,jNdQb-958hA,Directed,1
CMT_0345,jNdQb-958hA,Directed,1
CMT_0346,jNdQb-958hA,Directed,1
CMT_0347,jNdQb-958hA,Directed,1
CMT_0348,jNdQb-958hA,Directed,1
CMT_0349,jNdQb-958hA,Directed,1
CMT_0350,jNdQb-958hA,Directed,1
CMT_0351,jNdQb-958hA,Directed,1
CMT_0352,jNdQb-958hA,Directed,1
CMT_0353,jNdQb-958hA,Directed,1
CMT_0354,jNdQb-958hA,Directed,1
CMT_0355,jNdQb-958hA,Directed,1
CMT_0356,jNdQb-958hA,Directed,1
CMT_0357,jNdQb-958hA,Directed,1
CMT_0358,jNdQb-958hA,Directed,1
CMT_0359,jNdQb-958hA,Directed,1
CMT_0360,jNdQb-958hA,Directed,1
CMT_0361,jNdQb-958hA,Directed,1
CMT_0362,jNdQb-958hA,Directed,1
CMT_0363,jNdQb-958hA,Directed,1
CMT_0364,jNdQb-958hA,Directed,1
CMT_0365,jNdQb-958hA,Directed,1
CMT_0366,jNdQb-958hA,Directed,1
CMT_0367,jNdQb-958hA,Directed,1
CMT_0368,jNdQb-958hA,Directed,1
CMT_0369,jNdQb-958hA,Directed,1
CMT_0370,jNdQb-958hA,Directed,1
CMT_0371,jNdQb-958hA,Directed,1
CMT_0372,jNdQb-958hA,Directed,1
CMT_0373,jNdQb-958hA,Directed,1
CMT_0374,jNdQb-958hA,Directed,1
CMT_0375,jNdQb-958hA,Directed,1
CMT_0376,jNdQb-958hA,Directed,1
CMT_0377,jNdQb-958hA,Directed,1
CMT_0378,jNdQb-958hA,Directed,1
CMT_0379,jNdQb-958hA,Directed,1
CMT_0380,gHv0Fjq3GTM,Directed,1
CMT_0381,gHv0Fjq3GTM,Directed,1
CMT_0382,gHv0Fjq3GTM,Directed,1
CMT_0383,gHv0Fjq3GTM,Directed,1
CMT_0384,gHv0Fjq3GTM,Directed,1
CMT_0385,gHv0Fjq3GTM,Directed,1
CMT_0386,gHv0Fjq3GTM,Directed,1
CMT_0387,gHv0Fjq3GTM,Directed,1
CMT_0388,gHv0Fjq3GTM,Directed,1
CMT_0389,gHv0Fjq3GTM,Directed,1
CMT_0390,gHv0Fjq3GTM,Directed,1
CMT_0391,gHv0Fjq3GTM,Directed,1
CMT_0392,gHv0Fjq3GTM,Directed,1
CMT_0393,gHv0Fjq3GTM,Directed,1
CMT_0394,gHv0Fjq3GTM,Directed,1
CMT_0395,gHv0Fjq3GTM,Directed,1
CMT_0396,gHv0Fjq3GTM,Directed,1
CMT_0397,gHv0Fjq3GTM,Directed,1
CMT_0398,gHv0Fjq3GTM,Directed,1
CMT_0399,gHv0Fjq3GTM,Directed,1
CMT_0400,gHv0Fjq3GTM,Directed,1
CMT_0401,gHv0Fjq3GTM,Directed,1
CMT_0402,gHv0Fjq3GTM,Directed,1
CMT_0403,gHv0Fjq3GTM,Directed,1
CMT_0404,gHv0Fjq3GTM,Directed,1
CMT_0405,gHv0Fjq3GTM,Directed,1
CMT_0406,gHv0Fjq3GTM,Directed,1
CMT_0407,gHv0Fjq3GTM,Directed,1
CMT_0408,gHv0Fjq3GTM,Directed,1
CMT_0409,gHv0Fjq3GTM,Directed,1
CMT_0410,gHv0Fjq3GTM,Directed,1
CMT_0411,gHv0Fjq3GTM,Directed,1
CMT_0412,gHv0Fjq3GTM,Directed,1
CMT_0413,gHv0Fjq3GTM,Directed,1
CMT_0414,gHv0Fjq3GTM,Directed,1
CMT_0415,gHv0Fjq3GTM,Directed,1
CMT_0416,gHv0Fjq3GTM,Directed,1
CMT_0417,gHv0Fjq3GTM,Directed,1
CMT_0418,gHv0Fjq3GTM,Directed,1
CMT_0419,gHv0Fjq3GTM,Directed,1
CMT_0420,gHv0Fjq3GTM,Directed,1
CMT_0421,gHv0Fjq3GTM,Directed,1
CMT_0422,gHv0Fjq3GTM,Directed,1
CMT_0423,gHv0Fjq3GTM,Directed,1
CMT_0424,gHv0Fjq3GTM,Directed,1
CMT_0425,gHv0Fjq3GTM,Directed,1
CMT_0426,gHv0Fjq3GTM,Directed,1
CMT_0427,gHv0Fjq3GTM,Directed,1
CMT_0428,gHv0Fjq3GTM,Directed,1
CMT_0429,gHv0Fjq3GTM,Directed,1
CMT_0430,gHv0Fjq3GTM,Directed,1
CMT_0431,gHv0Fjq3GTM,Directed,1
CMT_0432,gHv0Fjq3GTM,Directed,1
CMT_0433,gHv0Fjq3GTM,Directed,1
CMT_0434,gHv0Fjq3GTM,Directed,1
CMT_0435,gHv0Fjq3GTM,Directed,1
CMT_0436,gHv0Fjq3GTM,Directed,1
CMT_0437,gHv0Fjq3GTM,Directed,1
CMT_0438,gHv0Fjq3GTM,Directed,1
CMT_0439,gHv0Fjq3GTM,Directed,1
CMT_0440,gHv0Fjq3GTM,Directed,1
CMT_0441,gHv0Fjq3GTM,Directed,1
CMT_0442,gHv0Fjq3GTM,Directed,1
CMT_0443,gHv0Fjq3GTM,Directed,1
CMT_0444,gHv0Fjq3GTM,Directed,1
CMT_0445,gHv0Fjq3GTM,Directed,1
CMT_0446,gHv0Fjq3GTM,Directed,1
CMT_0447,gHv0Fjq3GTM,Directed,1
CMT_0448,gHv0Fjq3GTM,Directed,1
CMT_0449,gHv0Fjq3GTM,Directed,1
CMT_0450,gHv0Fjq3GTM,Directed,1
CMT_0451,gHv0Fjq3GTM,Directed,1
CMT_0452,gHv0Fjq3GTM,Directed,1
CMT_0453,gHv0Fjq3GTM,Directed,1
CMT_0454,YCMIwOvegak,Directed,1
CMT_0455,YCMIwOvegak,Directed,1
CMT_0456,dGEC3CMp0hE,Directed,1
CMT_0457,dGEC3CMp0hE,Directed,1
CMT_0458,dGEC3CMp0hE,Directed,1
CMT_0459,dGEC3CMp0hE,Directed,1
CMT_0460,dGEC3CMp0hE,Directed,1
CMT_0461,Z_3t4Me-USY,Directed,1
CMT_0462,K1LnvaVRwx8,Directed,1
CMT_0463,K1LnvaVRwx8,Directed,1
CMT_0464,K1LnvaVRwx8,Directed,1
CMT_0465,K1LnvaVRwx8,Directed,1
CMT_0466,K1LnvaVRwx8,Directed,1
CMT_0467,K1LnvaVRwx8,Directed,1
CMT_0468,K1LnvaVRwx8,Directed,1
CMT_0469,K1LnvaVRwx8,Directed,1
CMT_0470,K1LnvaVRwx8,Directed,1
CMT_0471,K1LnvaVRwx8,Directed,1
CMT_0472,K1LnvaVRwx8,Directed,1
CMT_0473,K1LnvaVRwx8,Directed,1
CMT_0474,K1LnvaVRwx8,Directed,1
CMT_0475,K1LnvaVRwx8,Directed,1
CMT_0476,K1LnvaVRwx8,Directed,1
CMT_0477,K1LnvaVRwx8,Directed,1
CMT_0478,K1LnvaVRwx8,Directed,1
CMT_0479,K1LnvaVRwx8,Directed,1
CMT_0480,bG33XKc67mw,Directed,1
CMT_0481,bG33XKc67mw,Directed,1
CMT_0482,bG33XKc67mw,Directed,1
CMT_0483,0TloNP2_f-0,Directed,1
CMT_0484,0TloNP2_f-0,Directed,1
CMT_0485,0TloNP2_f-0,Directed,1
CMT_0486,0TloNP2_f-0,Directed,1
CMT_0487,RVnQnCcVtek,Directed,1
CMT_0488,RVnQnCcVtek,Directed,1
CMT_0489,AwTaNr5DsfA,Directed,1
CMT_0490,AwTaNr5DsfA,Directed,1
CMT_0491,AwTaNr5DsfA,Directed,1
CMT_0492,AwTaNr5DsfA,Directed,1
CMT_0493,AwTaNr5DsfA,Directed,1
CMT_0494,AwTaNr5DsfA,Directed,1
CMT_0495,AwTaNr5DsfA,Directed,1
CMT_0496,AwTaNr5DsfA,Directed,1
CMT_0497,AwTaNr5DsfA,Directed,1
CMT_0498,AwTaNr5DsfA,Directed,1
CMT_0499,Gczo2oc14oY,Directed,1
CMT_0500,Gczo2oc14oY,Directed,1
CMT_0501,Gczo2oc14oY,Directed,1
CMT_0502,BlKVfJg4hHE,Directed,1
CMT_0503,BlKVfJg4hHE,Directed,1
CMT_0504,BlKVfJg4hHE,Directed,1
CMT_0505,BlKVfJg4hHE,Directed,1
CMT_0506,BlKVfJg4hHE,Directed,1
CMT_0507,BlKVfJg4hHE,Directed,1
CMT_0508,BlKVfJg4hHE,Directed,1
CMT_0509,BlKVfJg4hHE,Directed,1
CMT_0510,BlKVfJg4hHE,Directed,1
CMT_0511,BlKVfJg4hHE,Directed,1
CMT_0512,BlKVfJg4hHE,Directed,1
CMT_0513,BlKVfJg4hHE,Directed,1
CMT_0514,BlKVfJg4hHE,Directed,1
CMT_0515,BlKVfJg4hHE,Directed,1
CMT_0516,BlKVfJg4hHE,Directed,1
CMT_0517,BlKVfJg4hHE,Directed,1
CMT_0518,BlKVfJg4hHE,Directed,1
CMT_0519,BlKVfJg4hHE,Directed,1
CMT_0520,BlKVfJg4hHE,Directed,1
CMT_0521,BlKVfJg4hHE,Directed,1
CMT_0522,BlKVfJg4hHE,Directed,1
CMT_0523,BlKVfJg4hHE,Directed,1
CMT_0524,BlKVfJg4hHE,Directed,1
CMT_0525,BlKVfJg4hHE,Directed,1
CMT_0526,BlKVfJg4hHE,Directed,1
CMT_0527,BlKVfJg4hHE,Directed,1
CMT_0528,BlKVfJg4hHE,Directed,1
CMT_0529,BlKVfJg4hHE,Directed,1
CMT_0530,BlKVfJg4hHE,Directed,1
CMT_0531,BlKVfJg4hHE,Directed,1
CMT_0532,BlKVfJg4hHE,Directed,1
CMT_0533,BlKVfJg4hHE,Directed,1
